measurement_type,day,tree,measurement,probe,peaks
normal,2021-03-22,BK01,M02,Elasto(90), 0.2988 0.7470
normal,2021-03-22,BK01,M03,Elasto(90), 0.2988 0.7470
normal,2021-03-22,BK01,M04,Elasto(90), 0.2988 0.7470
normal,2021-03-22,BK04,M02,Elasto(90), 0.2324 0.8798
normal,2021-03-22,BK04,M03,Elasto(90), 0.2324 0.8632
normal,2021-03-22,BK04,M04,Elasto(90), 0.2324 0.8964
normal,2021-03-22,BK07,M02,Elasto(90), 0.3154 0.8798
normal,2021-03-22,BK07,M03,Elasto(90), 0.3154 0.8798
normal,2021-03-22,BK07,M04,Elasto(90), 0.3320 0.8964
normal,2021-03-22,BK07,M05,Elasto(90), 0.3320 0.8798
normal,2021-03-22,BK08,M02,Elasto(90), 0.3486 1.0292
normal,2021-03-22,BK08,M03,Elasto(90), 0.3652 1.0790
normal,2021-03-22,BK08,M04,Elasto(90), 0.3652 1.0790
normal,2021-03-22,BK08,M05,Elasto(90), 0.3652 1.0624
normal,2021-03-22,BK08,M06,Elasto(90), 0.3652 1.0624
normal,2021-03-22,BK09,M02,Elasto(90), 0.2324 0.8466
normal,2021-03-22,BK09,M03,Elasto(90), 0.2324 0.8466
normal,2021-03-22,BK09,M04,Elasto(90), 0.2324 0.8466
normal,2021-03-22,BK10,M02,Elasto(90), 0.3154 1.0126
normal,2021-03-22,BK10,M03,Elasto(90), 0.3154 1.0126
normal,2021-03-22,BK10,M04,Elasto(90), 0.3154 1.0126
normal,2021-03-22,BK11,M02,Elasto(90), 0.3320 1.0956
normal,2021-03-22,BK11,M03,Elasto(90), 0.3320 1.0956
normal,2021-03-22,BK11,M04,Elasto(90), 0.3320 1.0956
normal,2021-03-22,BK12,M02,Elasto(90), 0.2324 0.7636
normal,2021-03-22,BK12,M03,Elasto(90), 0.2324 0.7636
normal,2021-03-22,BK12,M04,Elasto(90), 0.2324 0.7636
normal,2021-03-22,BK13,M02,Elasto(90), 0.2490 0.7636
normal,2021-03-22,BK13,M02,a01_z, 0.2333 0.7667 1.4500
normal,2021-03-22,BK13,M03,Elasto(90), 0.2324 0.7636
normal,2021-03-22,BK13,M03,a01_z, 0.2333 0.7667 1.4500
normal,2021-03-22,BK13,M04,Elasto(90), 0.2490 0.7636
normal,2021-03-22,BK13,M04,a01_z, 0.2333 0.7667 1.4500
normal,2021-03-22,BK14,M02,Elasto(90), 0.2988 0.7636
normal,2021-03-22,BK14,M03,Elasto(90), 0.2988 0.7470
